gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL3	17th week post-fertilization stage	TEC-cilliated	1	1	1	2	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	TEC-myo	1	1	1	4	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	TEC-neuro	1	1	1	5	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	cTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	cTECII	1	1	1	4	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTECI	1	1	1	9	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTECI-trans	1	1	1	12	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	TEC-myo	1	1	1	5	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	TEC-neuro	1	1	1	3	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	cTECI	1	1	1	44	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	cTECII	1	1	1	43	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTECI	1	1	1	137	0.0145985	0.0145985	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTECI-trans	1	1	1	7	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTECII	1	1	1	19	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTECIII	1	1	1	12	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mcTEC	1	1	1	153	0.00653595	0.00653595	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mcTEC-Prolif	1	1	1	11	0	0	not_generated	not_generated
LOXL3	2-year-old stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL3	2-year-old stage	mTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL3	2-year-old stage	mcTEC	1	1	1	4	0.25	0.25	not_generated	not_generated
LOXL3	20th week post-fertilization stage	TEC-cilliated	1	1	1	1	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	TEC-myo	1	1	1	101	0.019802	0.019802	not_generated	not_generated
LOXL3	20th week post-fertilization stage	TEC-neuro	1	1	1	29	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	TEC-tuft	1	1	1	16	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	cTECI	1	1	1	2907	0.00275198	0.00275198	not_generated	not_generated
LOXL3	20th week post-fertilization stage	cTECII	1	1	1	250	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTECI	1	1	1	743	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTECI-trans	1	1	1	114	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTECII	1	1	1	80	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTECIII	1	1	1	37	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mcTEC	1	1	1	2051	0.000487567	0.000487567	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mcTEC-Prolif	1	1	1	381	0.00524934	0.00524934	not_generated	not_generated
LOXL3	24th week post-fertilization stage	TEC-cilliated	1	2	2	140	0.0337056	0.0337056	not_generated	not_generated
LOXL3	24th week post-fertilization stage	TEC-myo	1	2	2	431	0.0164662	0.0164662	not_generated	not_generated
LOXL3	24th week post-fertilization stage	TEC-neuro	1	2	2	355	0.00552485	0.00552485	not_generated	not_generated
LOXL3	24th week post-fertilization stage	TEC-tuft	1	2	2	49	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	cTECI	1	2	2	401	0.00290698	0.00290698	not_generated	not_generated
LOXL3	24th week post-fertilization stage	cTECII	1	2	2	28	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mTECI	1	2	2	115	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mTECI-trans	1	2	2	286	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mTECII	1	2	2	103	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mTECIII	1	2	2	202	0.00515465	0.00515465	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mcTEC	1	2	2	483	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mcTEC-Prolif	1	2	2	57	0	0	not_generated	not_generated
LOXL3	3-month-old stage	TEC-cilliated	1	1	1	3	0	0	not_generated	not_generated
LOXL3	3-month-old stage	TEC-myo	1	2	2	16	0.0357143	0.0357143	not_generated	not_generated
LOXL3	3-month-old stage	TEC-neuro	1	1	1	8	0.125	0.125	not_generated	not_generated
LOXL3	3-month-old stage	cTECI	1	3	3	83	0	0	not_generated	not_generated
LOXL3	3-month-old stage	cTECII	1	3	3	132	0	0	not_generated	not_generated
LOXL3	3-month-old stage	cTECIII	1	3	3	255	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mTECI	1	3	3	797	0	0.00135501	not_generated	not_generated
LOXL3	3-month-old stage	mTECI-trans	1	3	3	32	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mTECII	1	3	3	282	0	0.006435	not_generated	not_generated
LOXL3	3-month-old stage	mTECIII	1	3	3	139	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mcTEC	1	3	3	258	0	0.0042194	not_generated	not_generated
LOXL3	3-month-old stage	mcTEC-Prolif	1	2	2	16	0	0	not_generated	not_generated
LOXL3	6-month-old stage	TEC-cilliated	3	7	7	438	0.0714286	0.0907702	not_generated	not_generated
LOXL3	6-month-old stage	TEC-myo	3	6	6	341	0	0.0110213	not_generated	not_generated
LOXL3	6-month-old stage	TEC-neuro	3	7	7	1178	0	0.0192076	not_generated	not_generated
LOXL3	6-month-old stage	TEC-tuft	1	1	1	1	0	0	not_generated	not_generated
LOXL3	6-month-old stage	cTECI	3	6	6	211	0	0.00604858	not_generated	not_generated
LOXL3	6-month-old stage	cTECII	3	5	5	818	0	0.000727272	not_generated	not_generated
LOXL3	6-month-old stage	cTECIII	3	6	6	1648	0	0.00321393	not_generated	not_generated
LOXL3	6-month-old stage	mTECI	3	7	7	814	0.00462963	0.00859613	not_generated	not_generated
LOXL3	6-month-old stage	mTECI-trans	3	6	6	216	0	0.00378788	not_generated	not_generated
LOXL3	6-month-old stage	mTECII	3	6	6	197	0	0.00694445	not_generated	not_generated
LOXL3	6-month-old stage	mTECIII	3	7	7	155	0	0	not_generated	not_generated
LOXL3	6-month-old stage	mcTEC	3	7	7	122	0	0.00348431	not_generated	not_generated
LOXL3	6-month-old stage	mcTEC-Prolif	2	4	4	10	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	TEC-cilliated	1	2	2	18	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	TEC-myo	1	3	3	98	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	TEC-neuro	2	4	4	14	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	cTECI	2	4	4	1583	0.00200535	0.00311111	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	cTECII	2	3	3	576	0	0.00181818	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	cTECIII	2	4	4	171	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTECI	2	4	4	1000	0	0.00171233	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTECI-trans	1	2	2	63	0.0080645	0.0080645	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTECII	2	4	4	169	0	0.0037594	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTECIII	2	4	4	135	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mcTEC	2	4	4	2513	0.0013089	0.00300408	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mcTEC-Prolif	1	2	2	43	0.015625	0.015625	not_generated	not_generated
LOXL4	10-month-old stage	TEC-cilliated	1	2	2	21	0	0	not_generated	not_generated
LOXL4	10-month-old stage	TEC-myo	1	2	2	52	0.0813955	0.0813955	not_generated	not_generated
LOXL4	10-month-old stage	TEC-neuro	1	2	2	29	0	0	not_generated	not_generated
LOXL4	10-month-old stage	cTECI	1	2	2	109	0.00467289	0.00467289	not_generated	not_generated
LOXL4	10-month-old stage	cTECII	1	2	2	89	0	0	not_generated	not_generated
LOXL4	10-month-old stage	cTECIII	1	2	2	77	0.0104166	0.0104166	not_generated	not_generated
LOXL4	10-month-old stage	mTECI	1	2	2	263	0.0934783	0.0934783	not_generated	not_generated
LOXL4	10-month-old stage	mTECI-trans	1	2	2	20	0	0	not_generated	not_generated
LOXL4	10-month-old stage	mTECII	1	2	2	45	0	0	not_generated	not_generated
LOXL4	10-month-old stage	mTECIII	1	2	2	317	0.00490196	0.00490196	not_generated	not_generated
LOXL4	10-month-old stage	mcTEC	1	2	2	220	0.0813679	0.0813679	not_generated	not_generated
LOXL4	10-month-old stage	mcTEC-Prolif	1	1	1	4	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	cTECI	2	3	3	8	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	cTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mcTEC	1	2	2	7	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mcTEC-Prolif	2	2	2	3	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	TEC-myo	1	1	1	1	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	TEC-neuro	2	2	2	3	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	cTECI	2	2	2	2	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mTECI	2	2	2	6	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	TEC-myo	1	2	2	2	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	TEC-neuro	1	2	2	2	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	cTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	mTECI	1	2	2	18	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	TEC-myo	1	1	1	2	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	cTECI	1	1	1	4	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mTECI	1	1	1	7	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mTECIII	1	1	1	1	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	TEC-cilliated	1	1	1	2	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	TEC-myo	1	1	1	4	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	TEC-neuro	1	1	1	5	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	cTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	cTECII	1	1	1	4	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mTECI	1	1	1	9	0.111111	0.111111	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mTECI-trans	1	1	1	12	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	TEC-myo	1	1	1	5	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	TEC-neuro	1	1	1	3	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	cTECI	1	1	1	44	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	cTECII	1	1	1	43	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTECI	1	1	1	137	0.080292	0.080292	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTECI-trans	1	1	1	7	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTECII	1	1	1	19	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTECIII	1	1	1	12	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mcTEC	1	1	1	153	0.0130719	0.0130719	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mcTEC-Prolif	1	1	1	11	0	0	not_generated	not_generated
LOXL4	2-year-old stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL4	2-year-old stage	mTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL4	2-year-old stage	mcTEC	1	1	1	4	0.25	0.25	not_generated	not_generated
LOXL4	20th week post-fertilization stage	TEC-cilliated	1	1	1	1	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	TEC-myo	1	1	1	101	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	TEC-neuro	1	1	1	29	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	TEC-tuft	1	1	1	16	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	cTECI	1	1	1	2907	0.00275198	0.00275198	not_generated	not_generated
LOXL4	20th week post-fertilization stage	cTECII	1	1	1	250	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTECI	1	1	1	743	0.0107672	0.0107672	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTECI-trans	1	1	1	114	0.00877193	0.00877193	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTECII	1	1	1	80	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTECIII	1	1	1	37	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mcTEC	1	1	1	2051	0.0029254	0.0029254	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mcTEC-Prolif	1	1	1	381	0.00262467	0.00262467	not_generated	not_generated
LOXL4	24th week post-fertilization stage	TEC-cilliated	1	2	2	140	0.00641025	0.00641025	not_generated	not_generated
LOXL4	24th week post-fertilization stage	TEC-myo	1	2	2	431	0.00239235	0.00239235	not_generated	not_generated
LOXL4	24th week post-fertilization stage	TEC-neuro	1	2	2	355	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	TEC-tuft	1	2	2	49	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	cTECI	1	2	2	401	0.00290698	0.00290698	not_generated	not_generated
LOXL4	24th week post-fertilization stage	cTECII	1	2	2	28	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTECI	1	2	2	115	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTECI-trans	1	2	2	286	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTECII	1	2	2	103	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTECIII	1	2	2	202	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mcTEC	1	2	2	483	0.00617474	0.00617474	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mcTEC-Prolif	1	2	2	57	0	0	not_generated	not_generated
LOXL4	3-month-old stage	TEC-cilliated	1	1	1	3	0	0	not_generated	not_generated
LOXL4	3-month-old stage	TEC-myo	1	2	2	16	0.321429	0.321429	not_generated	not_generated
LOXL4	3-month-old stage	TEC-neuro	1	1	1	8	0	0	not_generated	not_generated
LOXL4	3-month-old stage	cTECI	1	3	3	83	0	0.0135135	not_generated	not_generated
LOXL4	3-month-old stage	cTECII	1	3	3	132	0	0	not_generated	not_generated
LOXL4	3-month-old stage	cTECIII	1	3	3	255	0	0	not_generated	not_generated
LOXL4	3-month-old stage	mTECI	1	3	3	797	0.0880759	0.0842741	not_generated	not_generated
LOXL4	3-month-old stage	mTECI-trans	1	3	3	32	0	0.0222222	not_generated	not_generated
LOXL4	3-month-old stage	mTECII	1	3	3	282	0	0.006435	not_generated	not_generated
LOXL4	3-month-old stage	mTECIII	1	3	3	139	0	0	not_generated	not_generated
LOXL4	3-month-old stage	mcTEC	1	3	3	258	0	0.0295359	not_generated	not_generated
LOXL4	3-month-old stage	mcTEC-Prolif	1	2	2	16	0.0714285	0.0714285	not_generated	not_generated
LOXL4	6-month-old stage	TEC-cilliated	3	7	7	438	0	0.0102041	not_generated	not_generated
LOXL4	6-month-old stage	TEC-myo	3	6	6	341	0.0332435	0.0566207	not_generated	not_generated
LOXL4	6-month-old stage	TEC-neuro	3	7	7	1178	0	0.0178118	not_generated	not_generated
LOXL4	6-month-old stage	TEC-tuft	1	1	1	1	0	0	not_generated	not_generated
LOXL4	6-month-old stage	cTECI	3	6	6	211	0.00609755	0.01639	not_generated	not_generated
LOXL4	6-month-old stage	cTECII	3	5	5	818	0	0	not_generated	not_generated
LOXL4	6-month-old stage	cTECIII	3	6	6	1648	0	0	not_generated	not_generated
LOXL4	6-month-old stage	mTECI	3	7	7	814	0.0434783	0.0455345	not_generated	not_generated
LOXL4	6-month-old stage	mTECI-trans	3	6	6	216	0	0.0119048	not_generated	not_generated
LOXL4	6-month-old stage	mTECII	3	6	6	197	0	0.00231482	not_generated	not_generated
LOXL4	6-month-old stage	mTECIII	3	7	7	155	0	0	not_generated	not_generated
LOXL4	6-month-old stage	mcTEC	3	7	7	122	0	0.0205741	not_generated	not_generated
LOXL4	6-month-old stage	mcTEC-Prolif	2	4	4	10	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	TEC-cilliated	1	2	2	18	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	TEC-myo	1	3	3	98	0.0227273	0.0641794	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	TEC-neuro	2	4	4	14	0	0.0227273	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	cTECI	2	4	4	1583	0.0026738	0.00344533	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	cTECII	2	3	3	576	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	cTECIII	2	4	4	171	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTECI	2	4	4	1000	0.0182648	0.0197256	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTECI-trans	1	2	2	63	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTECII	2	4	4	169	0.0275188	0.0450094	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTECIII	2	4	4	135	0.0074627	0.00968373	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mcTEC	2	4	4	2513	0.0346379	0.267319	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mcTEC-Prolif	1	2	2	43	0.0767046	0.0767046	not_generated	not_generated
