gene	donor_id	samples	age_development	sex	cell_type_broad_derived	n_cells	mean_value	median_value	nonzero_mean_value	matrix_used	value_semantics_label	not_generated_reason
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	myoid-like	4				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	neuroendocrine-like	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	TEC-like	1515				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC-like	27				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC-like	865				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	myoid-like	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	neuroendocrine-like	130				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	other_epithelial	59				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	myoid-like	4				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	neuroendocrine-like	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	TEC-like	1515				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC-like	27				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC-like	865				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	myoid-like	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	neuroendocrine-like	130				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	other_epithelial	59				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
