gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	mean_value	median_value	nonzero_mean_value	matrix_used	value_semantics_label	not_generated_reason
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL1	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
